px,py
2854.08,2475.09
2823.74,2459.77
2818.11,2455.19
2812.61,2450.72
2807.25,2446.36
2802.02,2442.12
2803.41,2438.69
2804.92,2435.37
2806.55,2432.16
2808.32,2429.06
2812.32,2425.82
2816.45,2422.7
2820.71,2419.68
2825.1,2416.79
2829.63,2414.01
2834.3,2411.34
2839.11,2408.79
2844.05,2406.36
2849.15,2404.05
2854.38,2401.86
2859.77,2399.79
2865.74,2397.67
2871.87,2395.68
2878.14,2393.81
2884.57,2392.06
2891.15,2390.43
2897.88,2388.93
2904.77,2387.54
2911.82,2386.28
2919.02,2385.14
2926.38,2384.13
2933.9,2383.23
2941.59,2382.46
2948.46,2382.36
2955.49,2382.38
2962.69,2382.47
2970.06,2382.68
2977.59,2383
2985.28,2383.45
2993.14,2384.01
3001.25,2384.65
3009.55,2385.45
3018.02,2386.38
3026.65,2387.41
3035.45,2388.57
3045.56,2387.74
3055.83,2387.05
3066.24,2386.49
3076.79,2386.06
3090.09,2385
3103.52,2384.07
3117.17,2383.27
3130.94,2382.6
3144.72,2381.26
3158.93,2380.83
3171.83,2379.02
3184.86,2377.35
3198.01,2375.8
3211.28,2374.38
3224.66,2373.09
3238.17,2371.93
3251.78,2370.9
3261.61,2372.45
3271.61,2374.11
3282.8,2376.72
3294.16,2379.45
3308.33,2382.46
3322.59,2385.59
3336.96,2388.86
3351.42,2392.26
3365.97,2395.8
3380.61,2399.46
3395.34,2403.26
3410.16,2407.18
3422.96,2411.91
3435.87,2416.75
3448.88,2421.71
3463.76,2425.31
3478.68,2429.05
3493.65,2432.9
3506.12,2436.22
3519.05,2439.61
3532.02,2443.11
3544.39,2446.1
3556.77,2449.26
3569.19,2452.54
3581.65,2455.92
3594.16,2459.42
3606.7,2463.03
3619.28,2466.74
3631.89,2470.56
3644.54,2474.47
3657.23,2478.49
3669.94,2482.61
3682.69,2486.83
3695.47,2491.13
3708.27,2495.53
3721.11,2500.02
3733.96,2504.6
3746.85,2509.26
3759.75,2514.01
3772.68,2518.84
3786.94,2522.74
3801.22,2526.74
3815.51,2530.83
3829.82,2535.01
3844.13,2539.27
3858.2,2543.79
3872.27,2548.39
3886.35,2553.07
3900.43,2557.83
3914.52,2562.65
3928.62,2567.55
3942.72,2572.52
3956.82,2577.55
3970.92,2582.65
3985.02,2587.81
4000.3,2591.01
4015.57,2594.29
4030.83,2597.65
4046.08,2601.07
4061.31,2604.56
4078.54,2609.32
4095.75,2614.14
4111.98,2621.68
4126.07,2629.37
4140.16,2637.08
4154.25,2644.81
4168.34,2652.56
4182.42,2660.33
4196.5,2668.1
4210.09,2675.5
4224.25,2682.51
4238.4,2689.53
4252.53,2696.56
4266.65,2703.59
4280.18,2710.7
4293.7,2717.8
4307.2,2724.89
4320.7,2731.96
4334.18,2739.02
4347.65,2746.06
4361.1,2753.08
4374.54,2760.08
4388.11,2766.91
4401.48,2773.94
4414.83,2780.94
4428.16,2787.91
4441.47,2794.86
4454.76,2801.78
4468.02,2808.67
4481.26,2815.52
4494.47,2822.34
4507.66,2829.13
4521.78,2836.19
4536.35,2842.8
4550.9,2849.36
4565.43,2855.89
4579.55,2861.98
4593.64,2868.27
4607.71,2874.51
4621.74,2880.69
4635.75,2886.81
4649.72,2892.88
4663.17,2898.69
4676.6,2904.47
4689.99,2910.2
4703.35,2915.89
4716.67,2921.54
4729.97,2927.14
4743.34,2933.46
4756.68,2939.73
4771.25,2946.06
4785.79,2952.35
4800.3,2958.59
4814.78,2964.79
4829.23,2970.94
4843.64,2977.05
4858.02,2983.11
4872.06,2988.72
4886.07,2994.29
4900.03,2999.8
4913.95,3005.27
4927.83,3010.68
4941.67,3016.04
4955.46,3021.35
4969.21,3026.61
4982.91,3031.81
4996.57,3036.96
5009.95,3041.85
5023.28,3046.67
5036.56,3051.44
5049.32,3056.34
5062.02,3061.19
5074.45,3065.66
5086.82,3070.07
5099.13,3074.44
5111.39,3078.74
5124.41,3082.84
5137.75,3087.35
5151.04,3091.8
5164.29,3096.2
5177.49,3100.54
5190.65,3104.83
5203.76,3109.07
5216.82,3113.25
5229.83,3117.38
5242.79,3121.46
5255.77,3125.29
5268.7,3129.06
5281.59,3132.78
5294.41,3136.44
5307.19,3140.04
5319.91,3143.59
5330.44,3148.68
5340.93,3153.71
5351.36,3158.67
5361.73,3163.57
5372.06,3168.4
5382.32,3173.17
5392.55,3178.43
5402.72,3183.63
5412.28,3189.15
5421.78,3194.61
5431.2,3200.01
5440.56,3205.35
5449.84,3210.63
5459.06,3215.85
5468.2,3221.02
5477.26,3226.12
5486.25,3231.16
5495.17,3236.15
5504.12,3241.61
5512.98,3247.03
5521.76,3252.4
5530.45,3257.72
5539.06,3263
5547.57,3268.22
5556,3273.41
5564.24,3278.5
5572.39,3283.55
5580.45,3288.55
5588.2,3292.63
5595.84,3296.67
5603.36,3300.66
5610.75,3304.61
5618.03,3308.5
5625.18,3312.36
5632.21,3316.17
5638.41,3320.24
5644.36,3324.17
5650.19,3328.06
5655.89,3331.9
5661.46,3335.69
5666.91,3339.43
5672.22,3343.12
5677.4,3346.76
5682.45,3350.36
5687.38,3353.9
5692.17,3357.4
5696.83,3360.85
5701.36,3364.25
5705.76,3367.61
5710.03,3370.91
5714.17,3374.17
5718.18,3377.37
5722.53,3380.49
5726.75,3383.56
5730.07,3386.82
5733.26,3390.03
5736.32,3393.2
5739.89,3396.3
5742.68,3398.21
5745.34,3400.06
5747.86,3401.84
5750.24,3403.57
5752.5,3405.23
5754.61,3406.84
5756.6,3408.39
5758.45,3409.88
5760.18,3411.31
5761.71,3412.38
5763.13,3413.4
5764.6,3414.26
5765.95,3415.07
5767.17,3415.82
5768.28,3416.51
5768.91,3416.79
5769.43,3417.02
5769.84,3417.18
5770.12,3417.29
5770.84,3417.65
5771.44,3417.96
5771.92,3418.21
5772.3,3418.4
5772.56,3418.55
5772.72,3418.64
5772.6,3419.81
5772.37,3420.94
5771.5,3422.05
5770.53,3423.11
5769.46,3424.14
5768.28,3425.13
5767,3426.08
5765.62,3427
5764.14,3427.89
5762.55,3428.73
5760.87,3429.55
5759.1,3430.33
5757.23,3431.08
5755.26,3431.8
5753.21,3432.5
5751.07,3433.17
5750.26,3434.77
5749.36,3436.35
5748.38,3437.92
5747.32,3439.47
5746.23,3440.65
5745.07,3441.83
5744.53,3442.99
5743.91,3444.14
5743.22,3445.28
5742.45,3446.42
5741.6,3447.56
5740.67,3448.68
5739.67,3449.81
5738.59,3450.94
5737.44,3452.06
5736.22,3453.19
5734.93,3454.32
5733.57,3455.46
5732.13,3456.6
5730.63,3457.75
5729.39,3459.32
5728.08,3460.9
5726.71,3462.5
5725.27,3464.11
5723.77,3465.74
5722.22,3467.39
5720.6,3469.05
5718.92,3470.74
5717.6,3472.5
5716.23,3474.28
5714.81,3476.1
5713.34,3477.94
5712.02,3479.35
5710.66,3480.79
5709.24,3482.27
5707.77,3483.77
5706.26,3485.32
5704.7,3486.9
5703.09,3488.53
5701.44,3490.19
5699.75,3491.91
5696.05,3493.37
5692.1,3495.27
5688.12,3497.23
5684.11,3499.25
5680.07,3501.35
5675.55,3503.01
5671.01,3504.75
5666.44,3506.56
5661.86,3508.45
5657.26,3510.42
5651.54,3512.37
5645.81,3514.4
5640.08,3516.51
5634.34,3518.7
5628.61,3520.98
5622.89,3523.36
5617.18,3525.83
5611.49,3528.39
5605.84,3531.05
5600.22,3533.82
5594.58,3536.23
5588.95,3538.28
5583.36,3540.44
5578.21,3542.79
5572.82,3544.69
5567.47,3546.7
5562.17,3548.85
5556.93,3551.11
5551.75,3553.5
5547.34,3554.09
5542.99,3554.73
5538.69,3555.44
5534.45,3556.21
5531.07,3561.11
5527.82,3566.15
5524.7,3571.29
5521.74,3576.56
5518.93,3581.93
5516.3,3587.4
5513.85,3592.97
5511.6,3598.63
5509.56,3604.37
5507.74,3610.18
5506.41,3615.08
5505.31,3620.03
5504.44,3625.02
5503.81,3630.04
5503.43,3635.06
5503.31,3640.08
5503.13,3645.13
5503.22,3650.15
5503.54,3655.16
5504.12,3660.09
5504.93,3664.95
5505.99,3669.7
5507.29,3674.34
5508.78,3678.72
5510.47,3682.97
5512.97,3686.95
5515.64,3690.79
5518.48,3694.48
5521.46,3698.01
5524.58,3701.38
5527.81,3704.59
5531.14,3707.64
5534.57,3710.53
5538.08,3713.26
5541.64,3715.84
5544.45,3718.14
5547.31,3720.28
5550.2,3722.29
5552.97,3724.08
5555.76,3725.75
5558.55,3727.3
5561.34,3728.73
5563.94,3730.24
5566.82,3731.39
5569.68,3732.46
5572.53,3733.43
5575.36,3734.31
5578.96,3735.29
